AccelX,AccelY,AccelZ,AirbrakesDeploy,Altitude,EndByte,GyroX,GyroY,GyroZ,State,Temperature,Timestamp,Velocity,Voltage
0.15,-0.48,-0.83,0,4.8496933,0,-3.7,-3.7,2.4,8,21,1309900,248,0
0.15,-0.49,-0.83,0,3.932825,0,-4.1,-4.1,2.4,8,21,1310000,248,0
0.15,-0.48,-0.84,0,3.932825,0,-4,-4,2.3,8,21,1310100,248,0
0.14,-0.49,-0.83,0,4.8496933,0,-3.6,-3.6,2.5,8,21,1310200,248,0
0.14,-0.48,-0.83,0,4.8496933,0,-4,-4,2.4,8,21,1310300,248,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.8,-3.8,2.3,8,21,1310400,248,0
0.14,-0.49,-0.83,0,4.516552,0,-4.4,-4.4,2.4,8,21,1310500,248,0
0.14,-0.48,-0.83,0,4.8496933,0,-3.7,-3.7,2.3,8,21,1310600,248,0
0.14,-0.49,-0.83,0,4.8496933,0,-4,-4,2.2,8,21,1310700,248,0
0.15,-0.48,-0.84,0,3.932825,0,-3.8,-3.8,2.3,8,21,1310800,248,0
0.15,-0.49,-0.83,0,3.5997124,0,-4.1,-4.1,2.2,8,21,1310900,248,0
0.14,-0.47,-0.83,0,4.516552,0,-4.3,-4.3,2.4,8,21,1311000,248,0
