W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
-0.05,0.02,-1.00,0.04,279359776.0000,-513651328.0000,-581734400.00,121.49,998.74,0.12,0.07,1.10,21.45,-46.95,-5.33,130927.00,128542.00,130496.00,3312023773
-0.06,0.02,-1.00,0.04,279359776.0000,-513651328.0000,-581734400.00,121.76,998.71,0.15,0.06,1.13,0.65,-61.21,-8.83,130925.00,128551.00,130506.00,3312023773
-0.08,0.02,-1.00,0.04,279359776.0000,-513651328.0000,-581734400.00,121.76,998.71,0.21,0.11,1.07,-1.98,-89.38,-2.57,130918.00,128561.00,130503.00,3312023773
-0.11,0.02,-0.99,0.05,279359776.0000,-513651328.0000,-581734400.00,121.76,998.71,0.23,0.17,0.98,36.44,-102.51,17.05,130918.00,128547.00,130511.00,3312023773
-0.13,0.02,-0.99,0.06,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,0.21,0.13,0.99,41.30,-100.13,36.22,130910.00,128563.00,130513.00,3312023773
-0.15,0.01,-0.99,0.06,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,0.28,0.09,0.91,26.56,-87.41,19.05,130912.00,128546.00,130504.00,3312023773
-0.16,0.01,-0.98,0.06,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,0.30,0.14,0.93,16.49,-79.77,23.36,130915.00,128562.00,130504.00,3312023773
-0.18,0.00,-0.98,0.07,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,0.33,0.12,0.95,15.81,-86.70,33.00,130910.00,128556.00,130507.00,3312023773
-0.21,-0.01,-0.98,0.07,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,0.46,0.17,0.94,22.80,-122.20,67.53,130905.00,128556.00,130512.00,3312023773
-0.24,-0.03,-0.97,0.07,279359776.0000,-513651328.0000,-581734400.00,121.26,998.77,0.52,0.08,0.94,27.69,-145.43,80.45,130914.00,128560.00,130515.00,3312023773
-0.28,-0.04,-0.96,0.07,279359776.0000,-513651328.0000,-581734400.00,121.26,998.77,0.55,-0.00,0.87,53.02,-184.03,41.93,130909.00,128555.00,130532.00,3312023773
-0.32,-0.05,-0.94,0.07,279359776.0000,-513651328.0000,-581734400.00,121.18,998.78,0.66,0.11,0.62,-23.16,-102.42,35.50,130904.00,128559.00,130526.00,3312023773
-0.34,-0.05,-0.94,0.05,279359776.0000,-513651328.0000,-581734400.00,121.18,998.78,0.67,0.07,0.69,-45.24,-74.40,41.56,130907.00,128555.00,130529.00,3312023773
-0.37,-0.06,-0.93,0.04,279359776.0000,-513651328.0000,-581734400.00,121.18,998.78,0.73,-0.03,0.65,-43.24,-77.23,25.90,130908.00,128545.00,130537.00,3312023773
-0.39,-0.05,-0.92,0.03,279359776.0000,-513651328.0000,-581734400.00,121.32,998.76,0.74,0.04,0.69,-40.52,-84.20,19.99,130911.00,128551.00,130526.00,3312023773
-0.41,-0.05,-0.91,0.03,279359776.0000,-513651328.0000,-581734400.00,121.32,998.76,0.79,0.04,0.65,-33.46,-90.71,21.41,130911.00,128554.00,130533.00,3312023773
-0.43,-0.06,-0.90,0.02,279359776.0000,-513651328.0000,-581734400.00,121.74,998.71,0.81,-0.06,0.59,-5.89,-104.16,9.60,130912.00,128557.00,130540.00,3312023773
-0.46,-0.06,-0.89,0.02,279359776.0000,-513651328.0000,-581734400.00,121.74,998.71,0.85,-0.03,0.56,-0.37,-125.12,3.95,130909.00,128563.00,130529.00,3312023773
-0.49,-0.06,-0.87,0.02,279359776.0000,-513651328.0000,-581734400.00,121.74,998.71,0.83,-0.03,0.48,-3.43,-116.83,8.20,130908.00,128555.00,130537.00,3312023773
-0.51,-0.06,-0.85,0.02,279359776.0000,-513651328.0000,-581734400.00,121.34,998.76,0.86,-0.06,0.39,-3.74,-122.58,-2.16,130914.00,128563.00,130529.00,3312023773
-0.54,-0.06,-0.84,0.02,279359776.0000,-513651328.0000,-581734400.00,121.34,998.76,0.89,-0.05,0.35,-2.15,-113.74,-10.00,130916.00,128563.00,130534.00,3312023773
-0.56,-0.05,-0.82,0.02,279359776.0000,-513651328.0000,-581734400.00,121.94,998.69,0.93,-0.03,0.30,-21.86,-99.40,-16.83,130917.00,128552.00,130528.00,3312023773
-0.59,-0.05,-0.81,0.01,279359776.0000,-513651328.0000,-581734400.00,121.94,998.69,0.92,-0.06,0.21,-24.85,-108.49,1.04,130913.00,128561.00,130542.00,3312023773
