accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.09,1.12,-0.20,-249.94,-164.46,120.19,77656.00,36752.00,133608.00,32082
0.29,0.93,0.26,-249.94,-120.54,96.69,78128.00,38488.00,129896.00,32107
0.34,0.88,0.30,-249.94,-133.74,81.83,78496.00,40144.00,125216.00,32132
0.31,0.88,0.35,-249.94,-135.93,68.34,78864.00,40736.00,120296.00,32157
0.34,0.85,0.49,-249.94,-141.61,61.40,79736.00,40688.00,116888.00,32182
0.48,0.78,0.43,-249.94,-151.51,65.34,80520.00,40232.00,112576.00,32207
0.67,0.22,0.64,-249.94,-151.04,14.57,81224.00,38800.00,106792.00,32232
0.67,0.32,0.68,-249.94,-155.93,-29.89,81408.00,36280.00,101008.00,32257
0.78,0.49,0.76,-249.94,-173.39,-45.99,82120.00,33808.00,98032.00,32282
0.87,0.30,0.54,-249.94,-168.09,-28.64,83112.00,32104.00,96512.00,32307
0.85,0.14,0.48,-166.74,-133.71,-30.66,84096.00,30848.00,95512.00,32332
